DATE,Net Asset Value (TZS),Outstanding Number of Units,NAV per Unit (TZS),Sale Price Per Unit (TZS),Repurchase Price Per Unit (TZS)
19-03-2026,9907281580,90125385,109.9187,109.9187,109.9187
18-03-2026,9554993700,90125385,106.0102,106.0102,106.0102
17-03-2026,9865881886,90101175,109.4888,109.4888,109.4888
16-03-2026,9915760007,90101175,110.0423,110.0423,110.0423
13-03-2026,9906622835,89928921,110.1515,110.1515,110.1515
03/12/2026,9927076974,89928921,110.379,110.379,110.379
03/11/2026,9886730902,89709847,110.1988,110.1988,110.1988
03/10/2026,9879051228,89354246,110.5514,110.5514,110.5514
03/09/2026,9878058611,89139996,110.806,110.806,110.806
03/06/2026,9881271602,88971966,111.0514,111.0514,111.0514
03/05/2026,9871993840,88803654,111.1574,111.1574,111.1574
03/04/2026,9811503077,88111785,111.3438,111.3438,111.3438
03/03/2026,9814271020,88008830,111.5055,111.5055,111.5055
03/02/2026,9606027986,86152996,111.4905,111.4905,111.4905
27-02-2026,9466140376,85058863,111.2801,111.2801,111.2801
26-02-2026,9240750270,83353649,110.8529,110.8529,110.8529
23-02-2026,8946573586,80921290,110.5499,110.5499,110.5499
20-02-2026,8384389533,79462655,105.5049,105.5049,105.5049
19-02-2026,8327413739,79039304,105.3492,105.3492,105.3492
18-02-2026,8301800219,78939632,105.1578,105.1578,105.1578
17-02-2026,8281479195,78939632,104.9004,104.9004,104.9004
16-02-2026,8206165193,78432315,104.6187,104.6187,104.6187
13-02-2026,8172973185,78053853,104.7008,104.7008,104.7008
02/12/2026,8110509464,77865889,104.1514,104.1514,104.1514
02/11/2026,8078493109,77604793,104.0893,104.0893,104.0893
02/10/2026,8022385096,77041797,104.1217,104.1217,104.1217
02/09/2026,7933260360,76700405,103.4233,103.4233,103.4233
02/06/2026,7883501289,76409917,103.1653,103.1653,103.1653
02/05/2026,7852966660,76409770,102.7659,102.7659,102.7659
02/04/2026,7841132031,76409770,102.6111,102.6111,102.6111
02/03/2026,7819797402,76409770,102.3319,102.3319,102.3319
02/02/2026,7823062773,76409770,102.3746,102.3746,102.3746
30-01-2026,7675438966,75304628,101.9168,101.9168,101.9168
29-01-2026,7642336487,75279752,101.5108,101.5108,101.5108
28-01-2026,7640651858,75276311,101.4931,101.4931,101.4931
27-01-2026,7621685804,74932957,101.705,101.705,101.705
26-01-2026,7611043397,74837382,101.6927,101.6927,101.6927
23-01-2026,7576314058,74533229,101.6418,101.6418,101.6418
22-01-2026,7583806429,74530280,101.7463,101.7463,101.7463
21-01-2026,7580471800,74530280,101.7016,101.7016,101.7016
20-01-2026,7528257264,74062273,101.6393,101.6393,101.6393
19-01-2026,7520234635,74041910,101.5589,101.5589,101.5589
16-01-2026,7478430747,74041712,100.9946,100.9946,100.9946
15-01-2026,7366833686,72947557,100.9798,100.9798,100.9798
14-01-2026,7353551494,72896915,100.8677,100.8677,100.8677
13-01-2026,7317146865,72574532,100.8142,100.8142,100.8142
01/09/2026,7229597363,71790651,100.6956,100.6956,100.6956
01/08/2026,7207902409,71599861,100.6609,100.6609,100.6609
01/07/2026,7199497455,71525420,100.6482,100.6482,100.6482
01/06/2026,7106010533,70635131,100.5934,100.5934,100.5934
01/05/2026,7093075904,70540487,100.545,100.545,100.545
01/02/2026,7068926725,70351537,100.4718,100.4718,100.4718
31-12-2025,7050640257,70188058,100.4453,100.4453,100.4453
30-12-2025,7035087701,70039375,100.4365,100.4365,100.4365
29-12-2025,7030573260,70004227,100.4224,100.4224,100.4224
24-12-2025,6993889544,69671561,100.3755,100.3755,100.3755
23-12-2025,6974468672,69495054,100.351,100.351,100.351
22-12-2025,6969504451,69465802,100.3218,100.3218,100.3218
19-12-2025,6920504891,69005339,100.2812,100.2812,100.2812
18-12-2025,6891990640,68738532,100.2556,100.2556,100.2556
17-12-2025,6846079189,68301467,100.2333,100.2333,100.2333
16-12-2025,6834151238,68190995,100.2207,100.2207,100.2207
15-12-2025,6822302235,68092819,100.1912,100.1912,100.1912
29-08-2025,0,0,100,100,100
